2022-09-07T13:16:04,432 [main] INFO  (FolderCorrectionApplication.java:127) - Folder has been renamed in project LIB_L3_SW_RM,LIB_L3_SW_Prime_DF_RM_Generic
2022-09-07T13:16:07,904 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project LIB_L3_SW_RM
2022-09-07T13:16:10,887 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project LIB_L3_SW_RM,LIB_L3_SW_Prime_DF_RM_Migration
2022-09-07T13:16:23,164 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset LIB_L3_SW_Prime_DF_RM_Migration_test_CS_folder_correction has been created 
2022-09-07T13:16:40,169 [main] INFO  (FolderCorrectionApplication.java:121) - Admin Folder has been renamed in project LIB_L3_SW_RM,LIB_L3_SW_Prime_DF_RM_Migration
2022-09-07T13:16:40,169 [main] INFO  (FolderCorrectionApplication.java:127) - Folder has been renamed in project LIB_L3_SW_RM,LIB_L3_SW_Prime_DF_RM_Migration
2022-09-07T13:16:44,053 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project LIB_L3_SW_RM
2022-09-07T13:16:46,919 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project LIB_L3_SW_RM,LIB_L3_SW_Heater_RM_Migration
2022-09-07T13:16:56,750 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset LIB_L3_SW_Heater_RM_Migration_test_CS_folder_correction has been created 
2022-09-07T13:17:11,187 [main] INFO  (FolderCorrectionApplication.java:121) - Admin Folder has been renamed in project LIB_L3_SW_RM,LIB_L3_SW_Heater_RM_Migration
2022-09-07T13:17:11,188 [main] INFO  (FolderCorrectionApplication.java:127) - Folder has been renamed in project LIB_L3_SW_RM,LIB_L3_SW_Heater_RM_Migration
2022-09-07T13:17:14,771 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project LIB_L3_SW_RM
2022-09-07T13:17:17,143 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project LIB_L3_SW_RM,LIB_L3_SW_Heater_RM_Generic
2022-09-07T13:17:26,957 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset LIB_L3_SW_Heater_RM_Generic_test_CS_folder_correction has been created 
2022-09-07T13:17:45,185 [main] INFO  (FolderCorrectionApplication.java:121) - Admin Folder has been renamed in project LIB_L3_SW_RM,LIB_L3_SW_Heater_RM_Generic
2022-09-07T13:17:45,185 [main] INFO  (FolderCorrectionApplication.java:127) - Folder has been renamed in project LIB_L3_SW_RM,LIB_L3_SW_Heater_RM_Generic
2022-09-07T13:17:49,078 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project LIB_L3_SW_RM
2022-09-07T13:17:52,661 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Generic
2022-09-07T13:18:06,585 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset LIB_L4_SWC_All_RM_Generic_test_CS_folder_correction has been created 
2022-09-07T13:18:15,602 [main] INFO  (FolderCorrectionApplication.java:81) - Folder contents has been moved in project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Generic
2022-09-07T13:18:24,403 [main] ERROR (RestUtility.java:319) - Sub folder of Source folder cannot be moved in project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Generic
2022-09-07T13:18:24,404 [main] ERROR (FolderCorrectionApplication.java:87) - Admin Folder contents has not been moved in project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Generic
2022-09-07T13:18:25,223 [main] INFO  (FolderCorrectionApplication.java:156) - Source folder has been deleted in the project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Generic
2022-09-07T13:18:29,626 [main] INFO  (FolderCorrectionApplication.java:163) - Source folder has been deleted from the Adminstation artifacts folder for the project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Generic
2022-09-07T13:18:33,312 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project LIB_L3_SW_RM
2022-09-07T13:18:35,941 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Migration
2022-09-07T13:18:47,442 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset LIB_L4_SWC_All_RM_Migration_test_CS_folder_correction has been created 
2022-09-07T13:18:53,280 [main] INFO  (FolderCorrectionApplication.java:81) - Folder contents has been moved in project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Migration
2022-09-07T13:19:03,923 [main] ERROR (RestUtility.java:319) - Sub folder of Source folder cannot be moved in project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Migration
2022-09-07T13:19:03,924 [main] ERROR (FolderCorrectionApplication.java:87) - Admin Folder contents has not been moved in project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Migration
2022-09-07T13:19:04,747 [main] INFO  (FolderCorrectionApplication.java:156) - Source folder has been deleted in the project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Migration
2022-09-07T13:19:08,947 [main] INFO  (FolderCorrectionApplication.java:163) - Source folder has been deleted from the Adminstation artifacts folder for the project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Migration
2022-09-07T13:19:12,636 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project LIB_L3_SW_RM
2022-09-07T13:19:15,296 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Platform_RAD600_tobeArchieved_cw42
2022-09-07T13:19:27,074 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset LIB_L4_SWC_All_RM_Platform_RAD600_tobeArchieved_cw42_test_CS_folder_correction has been created 
2022-09-07T13:19:33,318 [main] INFO  (FolderCorrectionApplication.java:81) - Folder contents has been moved in project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Platform_RAD600_tobeArchieved_cw42
2022-09-07T13:19:42,169 [main] ERROR (RestUtility.java:319) - Sub folder of Source folder cannot be moved in project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Platform_RAD600_tobeArchieved_cw42
2022-09-07T13:19:42,170 [main] ERROR (FolderCorrectionApplication.java:87) - Admin Folder contents has not been moved in project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Platform_RAD600_tobeArchieved_cw42
2022-09-07T13:19:42,916 [main] INFO  (FolderCorrectionApplication.java:156) - Source folder has been deleted in the project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Platform_RAD600_tobeArchieved_cw42
2022-09-07T13:19:47,040 [main] INFO  (FolderCorrectionApplication.java:163) - Source folder has been deleted from the Adminstation artifacts folder for the project LIB_L3_SW_RM,LIB_L4_SWC_All_RM_Platform_RAD600_tobeArchieved_cw42
2022-09-07T13:19:50,828 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project LIB_L3_SW_RM
2022-09-07T13:19:53,797 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project LIB_L3_SW_RM,LIB_L3_SW_CyberSecurity_RM_Migration
2022-09-07T13:20:02,505 [main] ERROR (FolderCorrectionApplication.java:256) - Source folder 01_RequirementSet does not exist in below project 
2022-09-07T13:20:02,505 [main] ERROR (FolderCorrectionApplication.java:258) - LIB_L3_SW_RM , LIB_L3_SW_CyberSecurity_RM , LIB_L3_SW_CyberSecurity_RM_Migration
2022-09-07T13:20:06,085 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project LIB_L3_SW_RM
2022-09-07T13:20:09,158 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project LIB_L3_SW_RM,LIB_L3_SW_CyberSecurity_RM_Generic
2022-09-07T13:20:19,808 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset LIB_L3_SW_CyberSecurity_RM_Generic_test_CS_folder_correction has been created 
2022-09-07T13:20:23,802 [main] INFO  (FolderCorrectionApplication.java:81) - Folder contents has been moved in project LIB_L3_SW_RM,LIB_L3_SW_CyberSecurity_RM_Generic
2022-09-07T13:20:31,695 [main] ERROR (RestUtility.java:319) - Sub folder of Source folder cannot be moved in project LIB_L3_SW_RM,LIB_L3_SW_CyberSecurity_RM_Generic
2022-09-07T13:20:31,696 [main] ERROR (FolderCorrectionApplication.java:87) - Admin Folder contents has not been moved in project LIB_L3_SW_RM,LIB_L3_SW_CyberSecurity_RM_Generic
2022-09-07T13:20:32,422 [main] INFO  (FolderCorrectionApplication.java:156) - Source folder has been deleted in the project LIB_L3_SW_RM,LIB_L3_SW_CyberSecurity_RM_Generic
2022-09-07T13:20:36,601 [main] INFO  (FolderCorrectionApplication.java:163) - Source folder has been deleted from the Adminstation artifacts folder for the project LIB_L3_SW_RM,LIB_L3_SW_CyberSecurity_RM_Generic
2022-09-07T13:20:40,152 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project LIB_L3_SW_RM
2022-09-07T13:20:43,449 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project LIB_L3_SW_RM,LIB_L3_SW_EOL_Services_RM_Migration
2022-09-07T13:20:53,410 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset LIB_L3_SW_EOL_Services_RM_Migration_test_CS_folder_correction has been created 
2022-09-07T13:21:07,884 [main] INFO  (FolderCorrectionApplication.java:121) - Admin Folder has been renamed in project LIB_L3_SW_RM,LIB_L3_SW_EOL_Services_RM_Migration
2022-09-07T13:21:07,885 [main] INFO  (FolderCorrectionApplication.java:127) - Folder has been renamed in project LIB_L3_SW_RM,LIB_L3_SW_EOL_Services_RM_Migration
2022-09-07T13:21:10,703 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project LIB_L3_SW_RM
2022-09-07T13:21:13,255 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project LIB_L3_SW_RM,LIB_L3_SW_EOL_Services_RM_Generic
2022-09-07T13:21:23,603 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset LIB_L3_SW_EOL_Services_RM_Generic_test_CS_folder_correction has been created 
2022-09-07T13:21:40,805 [main] INFO  (FolderCorrectionApplication.java:121) - Admin Folder has been renamed in project LIB_L3_SW_RM,LIB_L3_SW_EOL_Services_RM_Generic
2022-09-07T13:21:40,806 [main] INFO  (FolderCorrectionApplication.java:127) - Folder has been renamed in project LIB_L3_SW_RM,LIB_L3_SW_EOL_Services_RM_Generic
2022-09-07T13:21:44,066 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project LIB_L3_SW_RM
2022-09-07T13:21:46,712 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project LIB_L3_SW_RM,LIB_L3_SW_RSP_RM_Platform_RAD600_tobearchieved_CW42
